MES;CLIENTE;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
201402;C00001;;0;0;<24, 48];244.86;0.0;245.26;03/02/2014;15.0;3816.34;BT;2012.0;1.0;COEF
201402;C00002;<=10;0;0;>48;610.58;612.69;611.54;18/02/2014;9.0;13620.5;BT;2012.0;1.0;COEF
201402;C00003;<=10;>0;0;<24, 48];2138.73;0.0;;05/02/2014;16.0;18968.5;BT;2013.0;0.0;CNE
201402;C00004;>10;0;0;<24, 48];323.07;46.85;74.26;24/02/2014;19.0;2459.84;BT;2012.0;0.0;CNE
201402;C00005;<=10;0;0;<24, 48];920.54;0.0;0.0;12/02/2014;14.0;6591.76;BT;2013.0;0.0;CNE
201402;C00006;<=10;0;0;<24, 48];364.27;371.11;0.0;06/02/2014;7.0;9836.38;BT;2013.0;1.0;CNE
201402;C00007;<=10;0;0;>48;692.77;287.31;718.96;05/02/2014;16.0;26889.9;BT;2013.0;1.0;CNE
201402;C00008;>10;0;0;>48;364.24;728.67;366.12;12/02/2014;9.0;5491.04;BT;2011.0;1.0;CNE
201402;C00009;<=10;0;0;>48;492.95;0.0;492.97;10/02/2014;11.0;14985.3;BT;2013.0;1.0;COEF
201402;C00011;>10;0;0;>48;653.41;648.31;670.51;04/02/2014;12.0;18148.1;BT;2010.0;1.0;CNE
201402;C00012;>10;0;0;<24, 48];548.02;555.44;521.46;06/02/2014;10.0;15415.1;BT;2012.0;1.0;COEF
201402;C00014;;0;0;<24, 48];839.04;1401.76;0.0;12/02/2014;20.0;9155.2;BT;2012.0;1.0;CNE
201402;C00015;;0;0;<24, 48];70.64;0.0;0.0;04/02/2014;14.0;4876.47;BT;2013.0;1.0;CNE
201402;C00016;;>0;0;<24, 48];113.25;211.33;212.62;26/02/2014;9.0;3146.65;BT;2012.0;1.0;CNE
201402;C00017;<=10;0;0;<24, 48];693.22;693.66;0.0;17/02/2014;11.0;18535.0;BT;2012.0;1.0;COEF
201402;C00018;;0;0;;1056.91;0.0;0.0;07/02/2014;10.0;1058.03;BT;2013.0;0.0;CNE
201402;C00019;<=10;0;0;<=24;466.27;467.04;0.0;06/02/2014;12.0;3791.15;BT;2012.0;1.0;CNE
201402;C00020;;0;0;>48;1259.75;1897.53;0.0;28/02/2014;9.0;14389.9;BT;2012.0;0.0;CNE
201402;C00021;>10;0;0;<24, 48];240.04;240.79;240.57;18/02/2014;7.0;3632.16;BT;2012.0;1.0;COEF
201402;C00022;<=10;0;0;<24, 48];207.24;206.08;0.0;19/02/2014;10.0;3242.09;BT;2012.0;1.0;CNE
201402;C00023;<=10;0;0;<24, 48];409.98;405.26;422.27;10/02/2014;18.0;9710.75;BT;2013.0;1.0;COEF
201402;C00024;;0;0;>48;786.41;0.0;0.0;05/02/2014;12.0;9094.24;BT;2011.0;1.0;CNE
201402;C00025;>10;0;0;<24, 48];363.14;363.14;363.01;04/02/2014;7.0;4178.66;BT;2012.0;1.0;CNE
201402;C00026;>10;0;0;<24, 48];381.31;302.27;722.14;03/02/2014;16.0;15190.9;BT;2012.0;1.0;CNE
201402;C00027;;0;0;<=24;42.21;0.0;0.0;04/02/2014;7.0;25554.3;BT;2013.0;1.0;CNE
201402;C00028;>10;0;0;<24, 48];1650.64;0.0;;25/02/2014;19.0;9615.35;BT;2010.0;0.0;CNE
201402;C00029;>10;0;0;;386.09;0.0;0.0;03/02/2014;10.0;8609.38;BT;2012.0;1.0;COEF
201402;C00030;<=10;0;0;;127.69;442.95;448.54;24/02/2014;7.0;4628.75;BT;2012.0;1.0;CNE
201402;C00032;;0;0;<24, 48];529.65;1.69;526.97;17/02/2014;19.0;9901.73;BT;2013.0;1.0;CNE
201402;C00033;>10;0;0;>48;372.38;374.46;374.63;12/02/2014;10.0;5927.97;BT;2011.0;1.0;CNE
201402;C00034;<=10;0;0;<24, 48];441.63;1.17;0.0;06/02/2014;8.0;11045.9;BT;2012.0;1.0;CNE
201402;C00036;<=10;0;0;>48;607.85;0.0;189.48;04/02/2014;12.0;18166.6;BT;2013.0;1.0;CNE
201402;C00037;;0;0;<24, 48];49.31;68.7;50.38;11/02/2014;16.0;24985.5;BT;2013.0;1.0;CNE
201402;C00039;<=10;0;0;<24, 48];2331.3;0.0;0.0;21/02/2014;16.0;20544.2;BT;2012.0;0.0;CNE
201402;C00040;>10;0;0;>48;1653.31;0.0;324.09;05/02/2014;18.0;55564.3;BT;2012.0;1.0;CNE
201402;C00041;>10;0;0;<24, 48];1420.84;1418.66;;04/02/2014;12.0;25832.1;BT;2011.0;1.0;CNE
201402;C00043;;0;0;<24, 48];1024.32;0.0;0.0;06/02/2014;13.0;21595.0;BT;2012.0;1.0;COEF
201402;C00045;>10;0;0;>48;759.69;762.5;682.64;20/02/2014;14.0;10334.2;BT;2011.0;1.0;CNE
201402;C00046;>10;>0;0;<24, 48];1671.58;0.0;0.0;07/02/2014;12.0;20898.2;BT;2012.0;0.0;CNE
201402;C00047;<=10;0;0;;191.69;699.62;0.0;11/02/2014;13.0;12211.5;BT;2012.0;1.0;CNE
201402;C00049;;>0;0;>48;1451.22;0.0;423.1;06/02/2014;12.0;19821.0;BT;2013.0;0.0;CNE
201402;C00050;;>0;0;<24, 48];1167.02;0.0;0.0;03/02/2014;10.0;4593.46;BT;2012.0;0.0;CNE
201402;C00051;>10;0;1;<24, 48];403.76;0.0;0.0;05/02/2014;16.0;6409.44;BT;2011.0;1.0;CNE
201402;C00052;<=10;0;0;>48;608.59;1209.62;614.19;20/02/2014;16.0;13666.8;BT;2012.0;1.0;CNE
201402;C00054;>10;0;0;>48;47.23;1397.87;0.0;18/02/2014;19.0;40331.9;BT;2012.0;1.0;CNE
201402;C00055;<=10;0;0;<24, 48];21.66;0.0;795.75;19/02/2014;10.0;15737.0;BT;2013.0;1.0;CNE
201402;C00056;>10;0;0;<24, 48];663.18;664.63;658.93;13/02/2014;9.0;13791.5;BT;2012.0;1.0;COEF
201402;C00057;<=10;0;0;>48;358.04;0.0;0.0;20/02/2014;9.0;5777.9;BT;2010.0;1.0;CNE
201402;C00058;>10;0;0;<24, 48];151.27;0.0;153.89;03/02/2014;15.0;1884.98;BT;2012.0;1.0;CNE
201402;C00060;;>0;0;<=24;621.97;632.01;637.7;14/02/2014;17.0;621.3;BT;2013.0;0.0;COEF
201402;C00061;;0;0;;408.37;1170.67;1165.31;13/02/2014;9.0;14789.7;BT;2011.0;1.0;CNE
201402;C00062;<=10;>0;0;<=24;47.29;0.0;0.0;19/02/2014;9.0;1731.19;BT;2012.0;1.0;COEF
201402;C00064;;0;0;>48;332.77;0.0;333.15;11/02/2014;13.0;2994.43;BT;2010.0;1.0;CNE
201402;C00065;<=10;>0;0;>48;733.41;735.75;0.0;04/02/2014;16.0;16281.8;BT;2012.0;1.0;CNE
201402;C00066;>10;0;0;>48;1941.43;1.72;0.0;03/02/2014;10.0;66469.5;BT;2012.0;1.0;COEF
201402;C00067;<=10;0;0;<24, 48];131.7;263.74;264.18;24/02/2014;14.0;3090.25;BT;2013.0;1.0;CNE
201402;C00069;<=10;0;0;>48;2028.47;3047.2;0.0;11/02/2014;9.0;26481.1;BT;2013.0;1.0;COEF
201402;C00071;<=10;0;0;<24, 48];2305.97;0.0;0.0;28/02/2014;8.0;20515.0;BT;2013.0;0.0;CNE
201402;C00072;;0;0;>48;1518.39;0.0;0.0;05/02/2014;19.0;22994.3;BT;2013.0;0.0;CNE
201402;C00073;>10;0;0;>48;715.94;0.0;357.28;13/02/2014;15.0;5443.86;BT;2011.0;0.0;COEF
201402;C00074;<=10;0;0;<24, 48];746.32;0.0;0.0;03/02/2014;18.0;16525.5;BT;2013.0;1.0;CNE
201402;C00075;<=10;>0;0;<24, 48];1569.31;0.0;0.0;11/02/2014;12.0;18654.2;BT;2012.0;0.0;CNE
201402;C00077;;0;0;<24, 48];502.29;0.0;;19/02/2014;8.0;13167.5;BT;2013.0;1.0;COEF
201402;C00078;>10;0;0;<24, 48];123.64;651.18;1095.72;11/02/2014;12.0;19009.7;BT;2011.0;1.0;COEF
201402;C00080;>10;0;0;>48;1642.75;0.0;0.0;06/02/2014;17.0;12496.0;BT;2012.0;0.0;CNE
201402;C00081;;0;0;<24, 48];253.19;253.0;254.08;26/02/2014;16.0;2739.17;BT;2012.0;1.0;CNE
201402;C00082;>10;0;0;>48;457.07;922.7;1393.47;07/02/2014;14.0;10292.9;BT;2012.0;1.0;CNE
201402;C00083;>10;0;0;<24, 48];108.91;0.0;0.0;11/02/2014;7.0;1577.7;BT;2012.0;1.0;COEF
201402;C00084;<=10;>0;0;<24, 48];348.65;348.65;0.0;27/02/2014;8.0;4922.87;BT;2011.0;1.0;COEF
201402;C00085;;0;0;<24, 48];230.48;228.77;232.68;06/02/2014;20.0;3037.76;BT;2012.0;1.0;COEF
201402;C00087;>10;0;0;<24, 48];321.87;198.05;228.74;05/02/2014;12.0;8117.28;BT;2011.0;1.0;CNE
201402;C00088;<=10;0;0;>48;859.02;1725.94;0.0;07/02/2014;9.0;24734.5;BT;2013.0;1.0;COEF
201402;C00089;>10;0;0;>48;120.89;120.97;121.0;12/02/2014;9.0;1486.35;BT;2011.0;1.0;CNE
201402;C00090;>10;0;0;<24, 48];266.61;0.0;0.0;06/02/2014;12.0;1034.77;BT;2011.0;1.0;COEF
